agno,mes,dia,valor
1983,12,5,0
1984,1,5,0
1984,2,5,0
1984,3,5,22
1984,4,5,0
1984,5,5,0
1984,6,5,36
1984,7,5,447.5
1984,8,5,11.5
1984,9,5,15
1984,10,5,4
1984,11,5,17.5
1984,12,5,0
1985,1,5,0
1985,2,5,0
1985,3,5,5
1985,4,5,10
1985,5,5,3
1985,6,5,16
1985,7,5,68.4
1985,8,5,1.5
1985,9,5,0
1985,10,5,25
1985,11,5,0
1985,12,5,0
1986,1,5,0
1986,2,5,0
1986,3,5,0
1986,4,5,0
1986,5,5,103.5
1986,6,5,53
1986,7,5,28.5
1986,8,5,61
1986,9,5,3
1986,10,5,20
1986,11,5,0
1986,12,5,0
1987,1,5,0
1987,2,5,11
1987,3,5,8
1987,4,5,10.5
1987,5,5,23
1987,6,5,49.5
1987,7,5,354.4
1987,8,5,236
1987,9,5,0
1987,10,5,6
1987,11,5,0
1987,12,5,0
1988,1,5,0
1988,2,5,0
1988,3,5,0
1988,4,5,0
1988,5,5,12.3
1988,6,5,22
1988,7,5,0
1988,8,5,10
1988,9,5,19
1988,10,5,0
1988,11,5,0
1988,12,5,0
1989,1,5,0
1989,2,5,0
1989,3,5,0
1989,4,5,28.5
1989,5,5,87.5
1989,6,5,2
1989,7,5,72.5
1989,8,5,161.5
1989,9,5,5
1989,10,5,0
1989,11,5,0
1989,12,5,0
1990,1,5,0
1990,2,5,0
1990,3,5,0
1990,4,5,0
1990,5,5,2.5
1990,6,5,9.2
1990,7,5,91
1990,8,5,11
1990,9,5,42
1990,10,5,0
1990,11,5,0
1990,12,5,0
1991,1,5,0
1991,2,5,0
1991,3,5,0
1991,4,5,9.5
1991,5,5,65
1991,6,5,255
1991,7,5,60.5
1991,8,5,6
1991,9,5,52
1991,10,5,0
1991,11,5,0
1991,12,5,7.5
1992,1,5,0
1992,2,5,0
1992,3,5,26
1992,4,5,48.2
1992,5,5,48.2
1992,6,5,253.4
1992,7,5,16.2
1992,8,5,77.3
1992,9,5,0
1992,10,5,0
1992,11,5,26.1
1992,12,5,0
1993,1,5,0
1993,2,5,0
